stage,opponent_stage,wins,draws,losses,elo_stage,elo_opponent_stage
11,11,498,0,502,1515.7713269375804,1520.701605816705
11,12,511,0,489,1515.7713269375804,1515.7713269375804
12,1,952,0,48,1514.8710817124584,1000.0
12,2,741,0,259,1514.8710817124584,1367.122853248997
12,3,647,0,353,1514.8710817124584,1423.0901968166918
12,4,667,0,333,1514.8710817124584,1408.3887913993049
12,5,621,0,379,1514.8710817124584,1429.862294414379
12,6,601,0,399,1514.8710817124584,1464.3399212310824
12,7,565,0,435,1514.8710817124584,1470.3492194297023
12,8,539,0,461,1514.8710817124584,1499.6684054799211
12,9,499,0,501,1514.8710817124584,1503.7718136576877
12,10,528,0,472,1514.8710817124584,1495.8269241349549
12,11,482,0,518,1514.8710817124584,1521.5867040350627
12,12,513,0,487,1514.8710817124584,1515.4335558041894
12,13,520,0,480,1514.8710817124584,1514.8710817124584
13,1,937,0,63,1501.5920496133585,1000.0
13,2,731,0,269,1501.5920496133585,1363.079880607549
13,3,666,0,334,1501.5920496133585,1418.7660550027326
13,4,647,0,353,1501.5920496133585,1405.9048738714032
13,5,610,0,390,1501.5920496133585,1427.7501842248648
13,6,545,0,455,1501.5920496133585,1462.9976848485094
13,7,542,0,458,1501.5920496133585,1468.7451587954588
13,8,505,0,495,1501.5920496133585,1497.8166085252888
13,9,513,0,487,1501.5920496133585,1501.2613818836426
13,10,518,0,482,1501.5920496133585,1493.6250841834478
13,11,454,0,546,1501.5920496133585,1520.658042343447
13,12,488,0,512,1501.5920496133585,1513.3044832499456
13,13,475,0,525,1501.5920496133585,1513.3997107439363
13,14,524,0,476,1501.5920496133585,1501.5920496133585
14,1,953,0,47,1517.7834181311625,1000.0
14,2,705,0,295,1517.7834181311625,1363.5333629905251
14,3,643,0,357,1517.7834181311625,1418.8119510473648
14,4,672,0,328,1517.7834181311625,1405.4105860341488
14,5,630,0,370,1517.7834181311625,1427.8357774691726
14,6,607,0,393,1517.7834181311625,1461.944912696432
14,7,561,0,439,1517.7834181311625,1469.3502454677014
14,8,542,0,458,1517.7834181311625,1497.4177157532304
14,9,531,0,469,1517.7834181311625,1501.1269209585316
14,10,543,0,457,1517.7834181311625,1493.4504958464545
14,11,504,0,496,1517.7834181311625,1520.4663940794203
14,12,519,0,481,1517.7834181311625,1512.9231601527272
14,13,530,0,470,1517.7834181311625,1512.5226057698533
14,14,528,0,472,1517.7834181311625,1501.5689475027818
14,15,495,0,505,1517.7834181311625,1517.7834181311625
15,1,954,0,46,1527.5737964360064,1000.0
15,2,735,0,265,1527.5737964360064,1362.9287087651876
15,3,678,0,322,1527.5737964360064,1417.7669704114853
15,4,671,0,329,1527.5737964360064,1405.3897598078993
15,5,694,0,306,1527.5737964360064,1425.628796055687
